date,block,beds,psf,area,price
2016-03-01,12,1,1560,420,655000
2016-03-01,10,3,1370,840,1151000
2016-03-01,10,3,1430,840,1201000
2016-03-01,12,1,1521,420,639000
2016-03-01,12,1,1502,420,631000
2016-03-01,2,3,1379,969,1336000
2016-03-01,10,2,1420,839,1191000
2016-03-01,10,2,1408,839,1181000
2016-03-01,12,1,1533,527,808000
2016-03-01,12,1,1474,420,619000
2016-03-01,2,3,1378,936,1290000
2016-03-01,2,3,1377,1152,1586000
2016-03-01,12,1,1169,592,692000
2016-03-01,10,3,1017,1260,1281000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1474,420,619000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1539,527,811000
2016-03-01,12,1,1488,420,625000
2016-03-01,12,1,1502,420,631000
2016-03-01,12,1,1502,420,631000
2016-03-01,12,1,1478,538,795000
2016-03-01,12,1,1539,527,811000
2016-03-01,12,2,1446,807,1167000
2016-03-01,12,1,1556,527,820000
2016-03-01,2,3,1361,937,1275000
2016-03-01,6,3,1352,1206,1630000
2016-03-01,10,1,1274,592,754000
2016-03-01,12,1,1474,420,619000
2016-03-01,12,1,1474,420,619000
2016-03-01,12,1,1488,420,625000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1495,420,628000
2016-03-01,12,1,1531,420,643000
2016-03-01,12,1,1559,528,823000
2016-03-01,12,2,1454,808,1175000
2016-03-01,6,4,1324,1528,2023000
2016-03-01,12,1,1560,420,655000
2016-03-01,10,1,1519,441,670000
2016-02-01,10,3,1388,775,1076000
2016-02-01,12,1,1483,538,798000
2016-02-01,12,1,1481,420,622000
2016-02-01,12,1,1169,592,692000
2016-02-01,6,3,1381,1227,1695000
2016-02-01,12,1,1533,527,808000
2016-02-01,2,3,1410,969,1366000
2016-02-01,8,4,1288,1464,1886000
2016-02-01,12,1,1472,538,792000
2016-02-01,10,2,1402,839,1176000
2016-02-01,12,1,1489,538,801000
2016-01-01,8,3,1394,1184,1651000
